Awan 		Hitam,Putih,Melayang
Bioskop		Tempat,Hiburan,Ruangan
Robot		Benda,Bergerak,Mesin
Sepatu		Alas,Berjalan,Kaki
Kemoceng	Alat,Ruangan,Debu
Kerikil		Benda,Padat,Bahan
Mantel		Pelindung,Parasut,Pakaian
Satpam		Putih,Biru,Menjaga
Gudang		Tempat,Barang,Ruangan
Tali		Pengikat,Penyambung,Panjang
Lemari		Tempat,Benda,Penyimpanan
Pakaian		Baju,Celana,Jaket
Polusi		Asap,Lingkungan,Kebakaran
Gurita		BanyakTangan,Laut
Teropong	Mata,Lensa,JarakJauh
Bulan		Bulat,Putih,DapatDilihat
Kalender	Hari,Bulan,Tahun
Sepeda		Roda,TenagaKaki,Rantai
Bendera		Tiang,Kain,Upacara
Kompor		Nasi,Api,Dapur
Handuk		Lembut,Pakaian,Bulu
Payung		Dipegang,Pelindung,Hujan
Matahari	Panas,Besar,Bulat
Setrika		Panas,Rapi,Alat
Nanas		Buah,Sisik,Kuning
Sekolah		Guru,Tempat,Seragam
Kesenian	Tari,Musik,Pelajaran
Doraemon	Gendut,Kucing,Tv
Minggu		Tujuh,Libur,Merah
Komik		Lucu,Gambar,Buku
Pesawat		Besar,Sayap,Udara
Magnet		Menarik,Menolak,Arah
